1 - Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 - Número de Instituições de Educação Superior, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Instituições;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;;  IF e CEFET ;;;;;;;;;;;;;;;;;;;;;;;;
Sul;;;386;100;286;43;11;32;19;5;14;318;82;236;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;Pública;;39;11;28;21;7;14;3;. ;3;9;2;7;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;;Federal;15;7;8;9;5;4;. ;. ;. ;. ;. ;. ;6;2;4;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;15;4;11;8;2;6;. ;. ;. ;7;2;5;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;9;. ;9;4;. ;4;3;. ;3;2;. ;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;347;89;258;22;4;18;16;5;11;309;80;229;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;272;71;201;5;2;3;6;3;3;261;66;195;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;75;18;57;17;2;15;10;2;8;48;14;34;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraná;;;183;54;129;13;5;8;7;3;4;162;45;117;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;19;5;14;8;2;6;1;. ;1;9;2;7;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;3;. ;2;2;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;13;2;11;6;. ;6;. ;. ;. ;7;2;5;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;3;. ;3;. ;. ;. ;1;. ;1;2;. ;2;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;164;49;115;5;3;2;6;3;3;153;43;110;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;144;39;105;4;2;2;4;2;2;136;35;101;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;20;10;10;1;1;. ;2;1;1;17;8;9;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Santa Catarina;;;96;16;80;12;2;10;6;. ;6;76;13;63;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;Pública;;10;3;7;6;2;4;2;. ;2;. ;. ;. ;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;2;1;1;1;. ;. ;. ;. ;. ;. ;. ;2;1;1;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;6;. ;6;4;. ;4;2;. ;2;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;86;13;73;6;. ;6;4;. ;4;76;13;63;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;66;11;55;1;. ;1;1;. ;1;64;11;53;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;20;2;18;5;. ;5;3;. ;3;12;2;10;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Rio Grande do Sul;;;107;30;77;18;4;14;6;2;4;80;24;56;3;. ;3;;;;;;;;;;;;;;;;;;;;;;
;Pública;;10;3;7;7;3;4;. ;. ;. ;. ;. ;. ;3;. ;3;;;;;;;;;;;;;;;;;;;;;;
;;Federal;9;2;7;6;2;4;. ;. ;. ;. ;. ;. ;3;. ;3;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;97;27;70;11;1;10;6;2;4;80;24;56;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;62;21;41;. ;. ;. ;1;1;. ;61;20;41;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;35;6;29;11;1;10;5;1;4;19;4;15;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro-Oeste;;;243;115;128;14;9;5;11;7;4;215;96;119;3;3;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;16;8;8;9;4;5;. ;. ;. ;4;1;3;3;3;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;8;7;1;5;4;1;. ;. ;. ;. ;. ;. ;3;3;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;4;1;3;3;. ;3;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;4;. ;4;1;. ;1;. ;. ;. ;3;. ;3;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;227;107;120;5;5;. ;11;7;4;211;95;116;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;206;96;110;2;2;. ;10;7;3;194;87;107;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;21;11;10;3;3;. ;1;. ;1;17;8;9;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mato Grosso do Sul;;;41;10;31;5;3;2;2;1;1;34;6;28;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;3;1;2;3;1;2;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;1;1;2;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;. ;1;1;. ;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;38;9;29;2;2;. ;2;1;1;34;6;28;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;33;8;25;1;1;. ;2;1;1;30;6;24;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;5;1;4;1;1;. ;. ;. ;. ;4;. ;4;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Mato Grosso;;;61;15;46;3;2;1;2;1;1;55;11;44;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;3;2;1;2;1;1;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;2;2;. ;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;. ;1;1;. ;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;58;13;45;1;1;. ;2;1;1;55;11;44;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;53;12;41;1;1;. ;2;1;1;50;10;40;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;5;1;4;. ;. ;. ;. ;. ;. ;5;1;4;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Goiás;;;78;27;51;4;2;2;3;1;2;69;22;47;2;2;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;8;3;5;3;1;2;. ;. ;. ;3;. ;3;2;2;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;3;3;. ;1;1;. ;. ;. ;. ;. ;. ;. ;2;2;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;. ;1;1;. ;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;4;. ;4;1;. ;1;. ;. ;. ;3;. ;3;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;70;24;46;1;1;. ;3;1;2;66;22;44;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;65;21;44;. ;. ;. ;2;1;1;63;20;43;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;5;3;2;1;1;. ;1;. ;1;3;2;1;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
Distrito Federal;;;63;63;. ;2;2;. ;4;4;. ;57;57;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Pública;;2;2;. ;1;1;. ;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Federal;1;1;. ;1;1;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Estadual;1;1;. ;. ;. ;. ;. ;. ;. ;1;1;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;Privada;;61;61;. ;1;1;. ;4;4;. ;56;56;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Particular;55;55;. ;. ;. ;. ;4;4;. ;51;51;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;Comun/Confes;6;6;. ;1;1;. ;. ;. ;. ;5;5;. ;. ;. ;. ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: MEC/INEP/DEED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF/CEFET - Instituto Federal de Educação, Ciência e Tecnologia e Centro Federal de Educação Tecnológica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
