6 - Concluintes;;;;;;;;;;;;;;;;;
6.1 - Número de Concluintes em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Concluintes em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;Comun/Confes;1.929;1.689;240;1.743;1.689;54;. ;. ;. ;186;. ;186;. ;. ;. 
Mato Grosso;;;11.136;4.853;6.283;4.497;3.097;1.400;2.220;725;1.495;4.370;1.024;3.346;49;7;42
;Pública;;2.635;1.193;1.442;2.586;1.186;1.400;. ;. ;. ;. ;. ;. ;49;7;42
;;Federal;1.577;1.193;384;1.528;1.186;342;. ;. ;. ;. ;. ;. ;49;7;42
;;Estadual;1.058;. ;1.058;1.058;. ;1.058;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;8.501;3.660;4.841;1.911;1.911;. ;2.220;725;1.495;4.370;1.024;3.346;. ;. ;. 
;;Particular;8.252;3.620;4.632;1.911;1.911;. ;2.220;725;1.495;4.121;984;3.137;. ;. ;. 
;;Comun/Confes;249;40;209;. ;. ;. ;. ;. ;. ;249;40;209;. ;. ;. 
Goiás;;;22.589;9.946;12.643;12.953;7.089;5.864;1.926;851;1.075;7.244;1.696;5.548;466;310;156
;Pública;;8.833;2.295;6.538;7.843;1.985;5.858;. ;. ;. ;524;. ;524;466;310;156
;;Federal;2.535;1.968;567;2.069;1.658;411;. ;. ;. ;. ;. ;. ;466;310;156
;;Estadual;4.923;327;4.596;4.923;327;4.596;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;1.375;. ;1.375;851;. ;851;. ;. ;. ;524;. ;524;. ;. ;. 
;Privada;;13.756;7.651;6.105;5.110;5.104;6;1.926;851;1.075;6.720;1.696;5.024;. ;. ;. 
;;Particular;10.919;5.660;5.259;3.113;3.113;. ;1.299;851;448;6.507;1.696;4.811;. ;. ;. 
;;Comun/Confes;2.837;1.991;846;1.997;1.991;6;627;. ;627;213;0;213;. ;. ;. 
Distrito Federal;;;22.277;22.277;. ;7.329;7.329;. ;5.934;5.934;. ;9.014;9.014;. ;. ;. ;. 
;Pública;;3.630;3.630;. ;3.545;3.545;. ;. ;. ;. ;85;85;. ;. ;. ;. 
;;Federal;3.545;3.545;. ;3.545;3.545;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;85;85;. ;. ;. ;. ;. ;. ;. ;85;85;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;18.647;18.647;. ;3.784;3.784;. ;5.934;5.934;. ;8.929;8.929;. ;. ;. ;. 
;;Particular;16.574;16.574;. ;1.870;1.870;. ;5.934;5.934;. ;8.770;8.770;. ;. ;. ;. 
;;Comun/Confes;2.073;2.073;. ;1.914;1.914;. ;. ;. ;. ;159;159;. ;. ;. ;. 
;;;;;;;;;;;;;;;;;
Fonte: MEC/INEP/DEED;;;;;;;;;;;;;;;;;
IF/CEFET - Instituto Federal de Educação, Ciência e Tecnologia e Centro Federal de Educação Tecnológica;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
